(1,'Canal City Realty Limited','Thorold','Niagara S','','','Serge Anthony Carpino','2023-12-20 16:16:14','2023-12-20 16:16:14'),
(1135,'Amdirect Corp.','Kitchener','Kitchener-waterloo','amdirect.ca','','Aziz Abdiladif Mohamed','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1136,'Art Of Living Realty Inc','Kitchener','Kitchener-waterloo','','','Evert I Hernandez','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1137,'Authentic Real Estate Corporation','Kitchener','Kitchener-waterloo','','','Richard Berenz','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1138,'Baxter I.c.i. Corp.','Kitchener','Kitchener-waterloo','baxterici.com','','John Robert Baxter','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1139,'Benjamins Realty Inc.','Kitchener','Kitchener-waterloo','benjaminsrealty.com','','Jacob John Benjamins','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1140,'C M A Realty Ltd.','Kitchener','Kitchener-waterloo','cmarealty.ca','','Neil Anthony Koebel','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1141,'Cbre Limited','Kitchener','Kitchener-waterloo','cbre.com','','','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1142,'Centralink Realty Inc.','Kitchener','Kitchener-waterloo','centrallinkrealty.com','','Daniela Jaworski','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1143,'Century 21 Heritage House Ltd','Kitchener','Kitchener-waterloo','century21hh.ca','','','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1144,'Century 21 Right Time Real Estate Inc.','Kitchener','Kitchener-waterloo','','','Surjit Singh Pablay','2023-12-20 16:43:46','2023-12-20 16:43:46'),
(1145,'Citimax Realty Ltd','Kitchener','Kitchener-waterloo','','','Richard James Griesbaum','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1146,'Cityprize 7 Inc.','Kitchener','Kitchener-waterloo','','','Svetlana Bryzgalova','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1147,'Colliers Macaulay Nicolls Inc.','Kitchener','Kitchener-waterloo','colliers.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1148,'Condo Culture Inc.','Kitchener','Kitchener-waterloo','condoculture.ca','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1149,'Cushman & Wakefield Waterloo Region Ltd.','Kitchener','Kitchener-waterloo','cushwakewr.com','','Michael Polzl','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1150,'David A Davies','Kitchener','Kitchener-waterloo','','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1151,'Dinks Realty Management Inc. Brokerage','Kitchener','Kitchener-waterloo','','','Farida Allie','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1152,'Exp Realty Of Canada Inc','Kitchener','Kitchener-waterloo','exprealty.net','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1153,'Forest Hill Real Estate Inc','Kitchener','Kitchener-waterloo','fhwaterlooregion.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1154,'Forward Urban Realty Inc.','Kitchener','Kitchener-waterloo','forwardurban.com','','Jason Joseph Malfara','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1155,'Glascon Realty Limited','Kitchener','Kitchener-waterloo','','','Sonya Margaret Glasser','2024-01-31 12:27:23','2023-12-20 16:43:47'),
(1156,'Global Realty Partners Inc.','Kitchener','Kitchener-waterloo','','','Harjit Mangat','2024-01-31 12:11:50','2023-12-20 16:43:47'),
(1157,'Home And Property Real Estate Ltd.','Kitchener','Kitchener-waterloo','homeandproperty.ca','','John Zwart','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1158,'Home Standards Realty Inc.','Kitchener','Kitchener-waterloo','','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1159,'Homefluent Realty Inc.','Kitchener','Kitchener-waterloo','homefluent.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1160,'Homelife Power Realty Inc.','Kitchener','Kitchener-waterloo','','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1161,'Immer Realty Corp.','Kitchener','Kitchener-waterloo','immerrealestate.com','','Mico Radulovic','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1162,'Independent Brokers Realty Corp.','Kitchener','Kitchener-waterloo','','','Kazem Zardkanlou','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1163,'Innovation Real Estate Inc.','Kitchener','Kitchener-waterloo','kwgtr.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1164,'Jones Lang Lasalle Real Estate Services Inc.','Kitchener','Kitchener-waterloo','jll.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1165,'K W Casa Realty Inc.','Kitchener','Kitchener-waterloo','kwcasarealty.com','','Drazenka Zivanovic','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1166,'Khakinorth Realty Inc.','Kitchener','Kitchener-waterloo','khakinorth.com','','Munawar Ahmad Rana','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1167,'Koebel-medlicott Real Estate & Appraisals Inc.','Kitchener','Kitchener-waterloo','kmraa.com','','Karen Louise Koebel-medlicott','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1168,'Landing Realty Inc.','Kitchener','Kitchener-waterloo','landingrealty.ca','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1169,'Lennard Commercial Realty Ltd.','Kitchener','Kitchener-waterloo','lennard.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1170,'List.ca Inc.','Kitchener','Kitchener-waterloo','list.ca','','Lukmon Olutimilehin Olaatanda','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1171,'Living Stone Realty Inc.','Kitchener','Kitchener-waterloo','','','Mahendra Palitha Costa','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1172,'Lohmer Real Estate & Appraisals Ltd.','Kitchener','Kitchener-waterloo','golden.net','','Shirley Lohmer','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1173,'One Percent Realty Ltd.','Kitchener','Kitchener-waterloo','onepercentrealty.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1174,'Peaceland Realty Group Inc.','Kitchener','Kitchener-waterloo','','','David Young','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1175,'Peter Benninger Realty Ltd.','Kitchener','Kitchener-waterloo','coldwellbankerpbr.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1176,'Power House Realty Ltd.','Kitchener','Kitchener-waterloo','','','Cynthia Mary Power','2024-01-31 12:27:23','2023-12-20 16:43:47'),
(1177,'Primus Realty Ltd','Kitchener','Kitchener-waterloo','primusrealty.ca','','Heidi Polzl','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1178,'Randy Scott Kipfer','Kitchener','Kitchener-waterloo','','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1179,'Re/max Real Estate Centre Inc.','Kitchener','Kitchener-waterloo','remaxcentre.ca','','Delio Manuel Oliveira','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1180,'Re/max Twin City Realty Inc.','Kitchener','Kitchener-waterloo','remaxtwincity.com','','Melanie Lynn Shantz','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1181,'Realocity Realty Inc.','Kitchener','Kitchener-waterloo','','','Nicholas Carere','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1182,'Rego Realty Inc.','Kitchener','Kitchener-waterloo','corcoranhorizon.com','','Cliff C. Rego','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1183,'Royal Canadian Realty Brokers Inc.','Kitchener','Kitchener-waterloo','royalcanadianrealty.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1184,'Royal Realty Group Inc.','Kitchener','Kitchener-waterloo','royalrealtygroup.ca','','Michael Anthony Anstead','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1185,'Royal Star Realty Inc','Kitchener','Kitchener-waterloo','royalstarrealty.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1186,'Sell My House Realty Inc','Kitchener','Kitchener-waterloo','yhsgrkw.com','','Elias Jiryis','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1187,'Solid State Realty Inc.','Kitchener','Kitchener-waterloo','solidstaterealty.com','','Ankung Cheng','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1188,'The Realty Den Corporation','Kitchener','Kitchener-waterloo','therealtyden.com','','Cheryl-anne Sarnavka','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1189,'The Realty Firm Inc.','Kitchener','Kitchener-waterloo','therealtyfirm.ca','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1190,'Trilliumwest Real Estate Brokerage Ltd.','Kitchener','Kitchener-waterloo','trilliumwest.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1191,'Trius Realty Inc.','Kitchener','Kitchener-waterloo','triusrealty.com','','Jennifer May Skinn','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1192,'Ulmer Realty Group Inc.','Kitchener','Kitchener-waterloo','ulmergroup.com','','Michael Stephen Ulmer','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1193,'We4max Real Estate Inc.','Kitchener','Kitchener-waterloo','','','Balakumar Subramaniam','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1194,'Wolle Realty Ltd','Kitchener','Kitchener-waterloo','wollerealty.com','','Mark Wolle','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1195,'Zolo Realty (ontario) Inc.','Kitchener','Kitchener-waterloo','zolo.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1196,'Zoocasa Realty Inc.','Kitchener','Kitchener-waterloo','zoocasa.com','','','2023-12-20 16:43:47','2023-12-20 16:43:47'),
(1197,'London Lifestyles Realty Inc.','Lambton Shores','','kw.com','','','2023-12-20 16:44:16','2023-12-20 16:44:16'),
(1198,'1830106 Ontario Inc.','Lasalle','Essex County','','','William Kevin Sivell','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1199,'Atlas Realty (windsor) Inc','Lasalle','Essex County','atlasrealtywindsor.ca','','Allan J M Blain','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1200,'Deerbrook Realty Inc.','Lasalle','Essex County','deerbrookrealty.net','','','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1201,'Equinox Realty Inc.','Lasalle','Essex County','equinoxrealty.ca','','Ralph Jr. A. Sandstedt','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1202,'Hugh R. Fay & Associates Limited','Lasalle','Essex County','','','Christine Eira Fay','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1203,'Jump Realty Inc.','Lasalle','Essex County','jumprealty.ca','','','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1204,'M. Mann Realty','Lasalle','Essex County','','','Manjit Kaur Mann','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1205,'Regency Realty Limited','Lasalle','Essex County','','','Anthony F. Coletti','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1206,'Binder Real Estate Inc.','Leamington','Essex County','royallepagebinder.com','','','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1207,'Century 21 Erie Shores Realty Inc.','Leamington','Essex County','century21.ca','','Donald Bruce Tilden','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1208,'Excel Realty Corp. (1996)','Leamington','Essex County','','','Janet M. Chesterfield','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1209,'Future Homes & Real Estate Ltd.','Leamington','Essex County','future-homes.com','','Robert Tatomir','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1210,'H. Featherstone Realty Inc.','Leamington','Essex County','','','Patty Elters','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1211,'Jump Realty Inc.','Leamington','Essex County','jumprealty.ca','','','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1212,'Mac 1 Realty Limited','Leamington','Essex County','mac1realty.ca','','Craig Keith Mcneil','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1213,'Pat Cervini Real Estate Ltd.','Leamington','Essex County','','','Pasquale A Cervini','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1214,'R. A. Critchlow Realty Inc','Leamington','Essex County','mnsi.net','','Randall Anthony Critchlow','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1215,'Realty House Sun Parlour Inc.','Leamington','Essex County','','','Kevin John Babkirk','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1216,'Sun County Realty Inc.','Leamington','Essex County','suncountryrealty.com','','Deiba Wigle','2023-12-20 16:44:17','2023-12-20 16:44:17'),
(1217,'1891609 Ontario Ltd.','London','Middlesex County','sutton.com','','Jie Dan','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1218,'1917149 Ontario Inc.','London','Middlesex County','','','Rachael Polakovic','2024-01-31 12:11:50','2023-12-20 16:44:19'),
(1219,'1st London Real Estate Services Inc.','London','Middlesex County','','','Wendell James Holody','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1220,'2455884 Ontario Inc.','London','Middlesex County','','','Shannon Michele Grogan','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1221,'2462835 Ontario Inc.','London','Middlesex County','','','Philip Spoelstra','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1222,'2615267 Ontario Inc.','London','Middlesex County','davenportrealty.ca','','','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1223,'2726653 Ontario Inc.','London','Middlesex County','homeologyrealestate.ca','','Nicholas Lawrence Davies','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1224,'2805467 Ontario Inc','London','Middlesex County','','','','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1225,'A Team London Inc.','London','Middlesex County','ateamlondon.ca','','Allen Ali Fayad','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1226,'Accsell Realty Inc.','London','Middlesex County','campbell.com','','Robert Blair Campbell','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1227,'Agent Realty Pro Inc.','London','Middlesex County','agentrealtypro.com','','Jason Michael Sims','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1228,'Anchor Real Estate Investments Corp','London','Middlesex County','execulink.com','','Michael John Marienwald','2023-12-20 16:44:19','2023-12-20 16:44:19'),
(1229,'Angelo M. Di Lullo','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1230,'Anthony Franze','London','Middlesex County','','','Anthony Franze','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1231,'Aros Realty Ltd.','London','Middlesex County','straughan.ca','','Michael James Straughan','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1232,'Avanti Real Estate (london) Ltd.','London','Middlesex County','charletoncredit.com','','Frank Decicco','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1233,'Bark & Branch Beaver Realty Inc.','London','Middlesex County','','','John Edward Hewerdine','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1234,'Blue Forest Realty Inc.','London','Middlesex County','peakprorealty.ca','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1235,'Bozena Olechno','London','Middlesex County','','','Bozena Olechno','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1236,'Byron Village Realty Inc.','London','Middlesex County','execulink.com','','John N Thurman','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1237,'Canadian Commercial Realty Inc','London','Middlesex County','canadiancommercial.ca','','Charles Steven Miller','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1238,'Canadian Dream Realty Inc.','London','Middlesex County','cdream.ca','','Volodymyr Vorobets','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1239,'Can-relco Ltd.','London','Middlesex County','','','Klaus G Hammer','2024-01-31 12:27:23','2023-12-20 16:44:20'),
(1240,'Canuck Real Estate Corporation','London','Middlesex County','canuckrealestate.com','','Paul Sarkar','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1241,'Cbre Limited','London','Middlesex County','cbre.com','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1242,'Century 21 First Canadian - Kingwell Realty Inc.','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1243,'Century 21 First Canadian Corp Dean Soufan Inc.','London','Middlesex County','c21.ca','','Dean Bud Soufan','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1244,'Century 21 First Canadian Corp.','London','Middlesex County','century21.ca','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1245,'Century 21 First Canadian Corp. Shahin Tabeshfard Inc.','London','Middlesex County','c21.ca','','Shahin Tabeshfard','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1246,'Century 21 First Canadian Nexmil Elite Realty Inc.','London','Middlesex County','nexmil.ca','','Melanie Gormley','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1247,'Century 21 First Canadian Steve Kleiman Inc.','London','Middlesex County','','','Steve E Kleiman','2024-01-29 17:32:41','2023-12-20 16:44:20'),
(1248,'Century 21 First Canadian Trusted Home Realty Inc.','London','Middlesex County','century21.ca','','Anish Srivastava','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1249,'Certainli Realty Inc.','London','Middlesex County','certainli.ca','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1250,'Citybroker Real Estate Ltd.','London','Middlesex County','','','Warren Emery John','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1251,'Corland Realty Inc.','London','Middlesex County','','','Richard P Brisco','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1252,'Di Lullo','London','Middlesex County','','','Angelo M. Di Lullo','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1253,'Diamond International Realty Inc.','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1254,'Dreamscape Realty Brokerage Inc.','London','Middlesex County','dsrbi.com','','Darrel Elver','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1255,'Dtz Barnicke London Windsor Sarnia Ltd','London','Middlesex County','cushwakeswo.com','','Brent Rudell','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1256,'Edward D Mitchell','London','Middlesex County','edmitchell.ca','','Edward D Mitchell','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1257,'Elite Choice Realty The Realty Firm Inc.','London','Middlesex County','','','Mark Edward Maynes','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1258,'Exp Realty Of Canada Inc','London','Middlesex County','exprealty.net','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1259,'Fivewalls Inc.','London','Middlesex County','fivewalls.com','','Mark A Laskey','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1260,'Forest Hill Real Estate Inc','London','Middlesex County','foresthilllondon.com','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1261,'General Realty Corp.','London','Middlesex County','myrealtyselect.com','','Joseph Manuel','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1262,'Gleed Inc.','London','Middlesex County','gleedcommercial.com','','Richard K. Gleed','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1263,'Glen Gordon Real Estate Ltd.','London','Middlesex County','glengordon.com','','Kenneth Glen Gordon','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1264,'Glenda James Real Estate Brokerage Inc.','London','Middlesex County','glendajames.com','','Glenda James','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1265,'Harry H. Tugender','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1266,'Homelife London Realty Inc.','London','Middlesex County','','','Jose A. Medeiros','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1267,'Homelife Total Care Realty Inc.','London','Middlesex County','totalcarerealty.ca','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1268,'Hometopreliance Ltd.','London','Middlesex County','','','Lihai Yu','2024-01-29 17:32:34','2023-12-20 16:44:20'),
(1269,'Housesigma Inc.','London','Middlesex County','housesigma.com','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1270,'Huntington Realty Services Ltd','London','Middlesex County','huntingtonrealty.com','','John Rennie Alguire','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1271,'Infinity Realty Inc.','London','Middlesex County','','','Anna Magdalena Dzwonczyk','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1272,'Initia Real Estate (ontario) Ltd.','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1273,'Investors Choice Realty Inc.','London','Middlesex County','','','Ajit Singh Aheer','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1274,'Ivy Wang Realty Inc.','London','Middlesex County','','','Yuhong Wang','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1275,'J.a.c.k. Realty Inc.','London','Middlesex County','colliers.com','','Christopher Leo Kirwin','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1276,'Jakupi Realty Inc.','London','Middlesex County','jakupirealty.com','','Medat Jakupi','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1277,'Janozeski Real Estate Inc.','London','Middlesex County','janozeskirealestate.ca','','Michael Paul Janozeski','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1278,'John Simmons Realty Services Ltd','London','Middlesex County','','','Laurence John Simmons','2024-01-31 12:11:50','2023-12-20 16:44:20'),
(1279,'K Rich Realty Inc.','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1280,'King Realty Inc.','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1281,'Km Real Estate Enterprises Inc.','London','Middlesex County','kmret.ca','','Michelle Marie Bondi','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1282,'Legendary Mmax Realty Inc.','London','Middlesex County','','','Madan Vasantha','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1283,'Leonard Edward Neilands','London','Middlesex County','','','','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1284,'Lewis O Lint','London','Middlesex County','','','Lewis O Lint','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1285,'Limelight Realty Inc.','London','Middlesex County','','','Ali Saadat','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1286,'Link 2 Realty Ltd.','London','Middlesex County','link2realty.ca','','Thomas Arthur P. Dampsy','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1287,'List299.com Realty Ltd.','London','Middlesex County','','','Edward Allen Rickwood','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1288,'London City Realty Corp.','London','Middlesex County','','','Paul Nicola Reale','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1289,'London Commercial Realty Inc.','London','Middlesex County','odegaard.ca','','Martin Odegaard','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1290,'London Lifestyles Realty Inc.','London','Middlesex County','kw.com','','Richard K Thyssen','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1291,'London Living Real Estate Ltd.','London','Middlesex County','','','Ainsley A Gordon','2024-01-31 12:11:50','2023-12-20 16:44:20'),
(1292,'London Power Realty Inc.','London','Middlesex County','powerre.net','','John Drew Johnson','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1293,'M.j. Ansari Real Estate Limited','London','Middlesex County','mjansari.com','','Mohammad J Ansari','2023-12-20 16:44:20','2023-12-20 16:44:20'),
(1294,'Maverick Real Estate Inc.','London','Middlesex County','maverickrealestateinc.com','','Craig Robert Hansford','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1295,'Mcnab Realty Services Ltd.','London','Middlesex County','ruthmcnab.com','','Ruth J. Mcnab','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1296,'Merex Realty Inc.','London','Middlesex County','','','Shahriar Amina','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1297,'Metrix Southwest Brokerage Inc.','London','Middlesex County','metrixrealty.com','','Daniel Julien Van Houtte','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1298,'Michael Staltari','London','Middlesex County','','','','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1299,'Mountain Realty Corp.','London','Middlesex County','','','Hans Arnoldt','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1300,'Next Home Realty Inc.','London','Middlesex County','','','Jelena Mitrovic-bacelj','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1301,'Nu-vista Premiere Realty Inc.','London','Middlesex County','','','Michael Bosveld','2024-01-31 12:11:50','2023-12-20 16:44:21'),
(1302,'Nu-vista Primeline Realty Inc.','London','Middlesex County','nuvistarealty.ca','','Anthony J Roach','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1303,'Oak And Key Real Estate Brokerage Inc.','London','Middlesex County','jacklane.ca','','Jack W Lane','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1304,'Oliver & Associates Armstrong Group Real Estate Brokerage Inc.','London','Middlesex County','','','Murray Armstrong','2024-01-31 12:11:50','2023-12-20 16:44:21'),
(1305,'Oliver & Associates Cornerstone Real Estate Brokerage Inc','London','Middlesex County','oliverproperties.ca','','Kimberly Michelle Toonk','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1306,'Oliver & Associates Jenn Spencer Real Estate Brokerage Inc.','London','Middlesex County','','','Jennifer Marie Spencer','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1307,'Oliver & Associates Katie White Real Estate Brokerage Inc.','London','Middlesex County','katiewhite.ca','','Katherine Eileen White','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1308,'Oliver & Associates Real Estate Brokerage Inc.','London','Middlesex County','','','Dennis C. Oliver','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1309,'Oliver & Associates Sarah Oliver Real Estate Brokerage Inc.','London','Middlesex County','','','Sarah Jessie Oliver','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1310,'One Percent Realty Ltd.','London','Middlesex County','onepercentrealty.com','','','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1311,'Oterra Group Ltd.','London','Middlesex County','oterragroup.com','','Jason Christopher Otto','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1312,'Pawlowski Realty Inc.','London','Middlesex County','newhomeexpert.com','','Lynn L. Pawlowski','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1313,'Pinheiro Realty Ltd','London','Middlesex County','pinheirorealty.ca','','Richard Sousa Pinheiro','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1314,'Pro/res Realty Inc','London','Middlesex County','','','Suzanne Elizabeth Fulop','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1315,'Purple Squirrel Realty Inc.','London','Middlesex County','teamps.ca','','Christopher Douglas Mavrikkou','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1316,'Queen Realty London Corp.','London','Middlesex County','queenrealty.ca','','James A Queen','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1317,'Raymond M Rochefort','London','Middlesex County','','','','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1318,'Re/max Advantage Realty Ltd.','London','Middlesex County','','','Gary G. Robinson','2024-01-31 12:11:50','2023-12-20 16:44:21'),
(1319,'Re/max Centre City Realty Inc','London','Middlesex County','remaxlondon.com','','Carl Edward Vandergoot','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1320,'Real Estate License Parking Inc.','London','Middlesex County','','','Barbara Meyer','2023-12-20 16:44:21','2023-12-20 16:44:21'),
(1321,'Realty 1 Strategic Ltd.','London','Middlesex County','','','Nadia Halunga-jorge','2023-12-20 16:44:21','2023-12-20 16:44:21'),
