brokerage,total_agents,with_email,email_percentage
Coldwell Banker - Peter Benniger Real Estate,3,3,100.0%
Exit Realty Lake Superior,3,3,100.0%
Property.ca,3,3,100.0%
Keller Williams Experience Realty,3,3,100.0%
Coldwell Banker Neumann Real Estate,3,3,100.0%
RE/MAX Hallmark Corbo &amp; Kelos Group,3,3,100.0%
Thorncrest Realty,3,3,100.0%
Demone Realty Group,3,3,100.0%
RE/MAX Quinte,3,2,66.7%
Royal LePage Porritt Real Estate,3,3,100.0%
Shaker Realty,3,2,66.7%
John L. Zagerman Real Estate Services,3,2,66.7%
Cushman &amp; Wakefield Inc,3,3,100.0%
Coldwell Banker JC Marsden Realty,3,0,0.0%
Royal LePage Trinity Realty,3,2,66.7%
Times Square Realty,3,2,66.7%
Homelife Gold Pacific Realty,3,2,66.7%
Homelife Vision Realty,3,1,33.3%
Exit Realty Hare,3,1,33.3%
The Realty Market Inc,3,3,100.0%
Century 21 Leaders Realty,3,3,100.0%
Coldwell Banker The Real Estate Centre,3,3,100.0%
Sutton Group Security Real Estate,3,3,100.0%
Homelife/Romano Realty,3,3,100.0%
Minmaxx Realty Inc,3,3,100.0%
Sutton - Sadie Moranis Realty,3,3,100.0%
Keller Williams Ottawa Realty,3,3,100.0%
Homelife Top Star Realty,3,3,100.0%
Homelife Power Realty Inc,3,3,100.0%
Weiss Realty,3,3,100.0%
RE/MAX Sudbury Inc,3,3,100.0%
Century 21 Heritage Group Ltd,3,3,100.0%
Sutton Group - Select Realty,3,3,100.0%
RE/MAX Cornwall Realty,3,3,100.0%
Sutton Group-Select Realty,3,3,100.0%
RE/MAX Crossroads Realty,3,3,100.0%
Sutton - Benchmark Realty Inc,3,3,100.0%
Prudential Kleimaker &amp; Bruse Realty,3,3,100.0%
Bay Real Estate,3,3,100.0%
Global Link Realty Group,3,3,100.0%
Century 21 Action Power Team Realty,3,3,100.0%
Marshall Real Estate,3,3,100.0%
Century 21 St Andrew&#039;s Realty,3,3,100.0%
Keller Williams Golden Triangle,3,3,100.0%
Abe Gitalis Real Estate,3,3,100.0%
Links Corporate Realty,3,3,100.0%
Capital Growth Realty Inc,3,3,100.0%
Spencer Group Inc,3,3,100.0%
JK McLachlan Realty,3,3,100.0%
Rock Advisors,3,3,100.0%
Keller Williams Realty Centres,3,3,100.0%
Gentry Commercial,3,3,100.0%
Power Realty,3,3,100.0%
Soltanian Real Estate,3,3,100.0%
Ranex Realty Group,3,3,100.0%
Sutton Team Realty,3,3,100.0%
Century 21 - St Andrew&#039;s Realty,3,3,100.0%
Century 21 Town &amp; Country Realty,3,3,100.0%
Alexandroff Real Estate Ltd,3,3,100.0%
Zoran Real Estate Limited,3,3,100.0%
Sutton Group Future Realty,3,3,100.0%
Keller Williams VIP Realty,3,3,100.0%
Century 21 Landstars,3,3,100.0%
Homelife/New Star Real Estate,3,3,100.0%
Cushman&amp; Wakefield ULC,3,3,100.0%
TD Cornerstone Commercial Realty,3,3,100.0%
Nick Givalas Real Estate,3,3,100.0%
JDL Realty Inc,3,3,100.0%
Lennard,3,3,100.0%
Capital North Realty Corp,3,2,66.7%
Bosley Real Estate Ltd,3,3,100.0%
416-842-8900  CIBC World Markets,3,3,100.0%
Cushman &amp; Wakefield Waterloo Region Ltd,3,2,66.7%
RE/MAX Premier Realty,3,2,66.7%
Sam McDadi Real Estate,3,3,100.0%
Keller Williams Real Estate Associates,3,3,100.0%
Century 21 BJ Roth,3,3,100.0%
"Jones Lang LaSalle: Elliot Medoff &amp; Euan Darling, 416-238-9768 Cushman &amp; Wakefield Ltd",3,3,100.0%
RE/MAX Crown Realty,3,3,100.0%
Whitney Commercial Real Estate,3,3,100.0%
Royal LePage Realty Plus,3,3,100.0%
Cube Realty Advisors Ltd,3,3,100.0%
Coldwell Banker Integrity Real Estate,3,2,66.7%
Keller Williams Realty Solutions,3,1,33.3%
RE/MAX Imperial Realty,3,1,33.3%
Freeman Real Estate Ltd,3,3,100.0%
Keller Williams Advantage,3,3,100.0%
Keller William Ottawa Realty,3,3,100.0%
Forest Hill Real Estate Inc,3,3,100.0%
Homelife/Vision Realty,3,3,100.0%
Realty Executives Elite,3,3,100.0%
Realty Works,3,3,100.0%
X-Sell Realty,3,3,100.0%
Colliers Canada,3,3,100.0%
Boutique Real Estate Corporation,3,0,0.0%
Homelife Success Realty Inc.,3,0,0.0%
2641700 Ontario Inc.,3,0,0.0%
Lah Team Realty Inc.,3,0,0.0%
Cube Realty Advisors Ltd.,3,0,0.0%
Industrial Commercial Realty Inc.,3,0,0.0%
1000171862 Ontario Inc.,3,0,0.0%
1730568 Ontario Inc.,3,0,0.0%
Wind Star Realty Limited,3,0,0.0%
Ross Realty Corporation,3,0,0.0%
Merx Realty Services Inc.,3,0,0.0%
Tri-ace Realty Group Inc.,3,0,0.0%
New Star Real Estate Ltd.,3,0,0.0%
Sachs Realty Inc.,3,0,0.0%
Shearwater Real Estate Limited,3,0,0.0%
S. Liut Realty Limited,3,0,0.0%
Wright Real Estate Ltd,3,0,0.0%
Yorkville Real Estate Corporation,3,0,0.0%
Wendy Zheng Realty Inc.,3,0,0.0%
Prestige World Realty Inc.,3,0,0.0%
Property Trading Realty Services Corp.,3,0,0.0%
Royal LePage Your Community Realty Inc,2,1,50.0%
Xoocca,2,1,50.0%
Paracom Real Estate Corp,2,2,100.0%
RE/MAX West Realty Inc,2,2,100.0%
Mallette-Goring Inc,2,1,50.0%
Web Max Realty,2,1,50.0%
Buckingham Realty (Windsor),2,1,50.0%
Real World Realty,2,1,50.0%
First Choice Realty Ontario Ltd,2,1,50.0%
Seligman Commercial Real Estate,2,1,50.0%
Property Manager,2,2,100.0%
Capital North Realty,2,2,100.0%
Royal LePage Heartland,2,2,100.0%
ROCK Apartment Advisors Inc,2,2,100.0%
Coupal Markou Commercial Realty,2,2,100.0%
CB Commercial,2,2,100.0%
Satco Realty,2,2,100.0%
Spectrum Realty Services,2,2,100.0%
The Country Real Estate,2,1,50.0%
Royal LePage In Touch Realty,2,1,50.0%
Steve Kewin &amp; Associates Inc,2,1,50.0%
AimHome Realty,2,1,50.0%
Keller Williams Energy Realty,2,1,50.0%
Homelife Landmark RH Realty,2,1,50.0%
Royal LePage Heritage Realty,2,1,50.0%
Investpro Realty,2,1,50.0%
Keller Williams Legacies Realty,2,1,50.0%
Midevco Commercial Realty Corp,2,1,50.0%
Tom Jones &amp; Sons Ltd,2,1,50.0%
Realty Executives Local Group,2,2,100.0%
RE/MAX Rise Executives,2,2,100.0%
Marcus &amp; Millichap Real Estate Investment Services,2,1,50.0%
"Harrison Livermore &amp; Chris Daly, 905-712-2100RE/MAX Premier Inc",2,1,50.0%
Jones Lang Lasalle Real Estate Services,2,2,100.0%
Master&#039;s Choice Realty Inc,2,1,50.0%
Incompro Realty,2,2,100.0%
Royal LePage United Realty,2,1,50.0%
Demone Realty Group Inc.,2,1,50.0%
Royal Lepage Terriquity Brokerage,2,1,50.0%
Savills Canada,2,1,50.0%
Triple Net Realty Inc,2,1,50.0%
Homelife Cholkan Realty,2,1,50.0%
Save Max First Choice Real Estate,2,1,50.0%
CB,2,2,100.0%
RE/MAX Noblecorp,2,2,100.0%
CLV Realty Corporation,2,2,100.0%
RE/MAX Lakeshore Realty,2,2,100.0%
Sutton Group Elite Realty,2,2,100.0%
Green Realty,2,2,100.0%
Icon1 Realty Services Inc,2,2,100.0%
Azcom Commercial Real Estate,2,2,100.0%
Cantor Realty Corp,2,2,100.0%
Sutton Group - Associates Realty Inc,2,2,100.0%
Triple Net Realty,2,2,100.0%
Sutton Group Wallace Taylor Realty,2,2,100.0%
McCarroll Real Estate Team,2,2,100.0%
Coldwell Banker Real Estate Centre,2,2,100.0%
HomeLife/Vision Realty Inc,2,1,50.0%
James Power Real Estate Inc,2,2,100.0%
NAI Commercial,2,1,50.0%
The Vancor Group,2,2,100.0%
Wincorp Realty Inc,2,2,100.0%
Royal LePage Baird Real Estate,2,2,100.0%
Pointmark Real Estate Ltd,2,2,100.0%
Coldwell Banker Innovators Realty,2,2,100.0%
Homelife Premium One Realty Group,2,2,100.0%
Homelife 5 Star Realty,2,2,100.0%
Catalyst Real Estate Brokerage,2,2,100.0%
Century 21 President Realty Inc,2,1,50.0%
Prosperity Land Realty,2,2,100.0%
RE/MAX Gold,2,2,100.0%
Rivergate Realty,2,2,100.0%
Cushman and Wakefield Ltd,2,2,100.0%
RE/MAX Hallmark Group,2,2,100.0%
Keller Williams Golden Triangle Realty,2,2,100.0%
Canada Group,2,2,100.0%
Compass Commercial Realty,2,1,50.0%
Cushman &amp; Wakefield Kingston Ltd,2,2,100.0%
Avison Young Multi-Residential Group,2,2,100.0%
Ed Lowe Real Estate Inc,2,1,50.0%
Paul Martin &amp; Company Ltd,2,1,50.0%
Royal LePage Commercial Westhaven,2,2,100.0%
Homelife/Premium One Realty,2,2,100.0%
Revel Realty,2,2,100.0%
Masterson Realty,2,2,100.0%
Sherwood Realty Group Inc,2,2,100.0%
Sutton Group Masters Realty,2,2,100.0%
"Christopher Coupal, John Markou &amp; Brooks Way, 519-742-7000 RE/MAX Twin City Realty",2,2,100.0%
Dan Gemus Real Estate Team Ltd,2,2,100.0%
National Retail Group,2,2,100.0%
OntarioWide Real Estate,2,2,100.0%
Century 21 Heritage House,2,2,100.0%
Brixton Commercial Real Estate,2,2,100.0%
Sutton Group - Signature Realty,2,2,100.0%
Weiss Realty Ltd,2,2,100.0%
Sutton Incentive Realty,2,2,100.0%
STS Commercial Realty,2,2,100.0%
Reio Realty Ltd,2,1,50.0%
Top Guns Realty,2,2,100.0%
Slavens &amp; Associates Real Estate,2,2,100.0%
Wind Star Realty,2,2,100.0%
Chestnut Park West Real Estate,2,2,100.0%
Prospect Realty Inc,2,2,100.0%
Realty Executives Castle Alliance,2,2,100.0%
Steve Kewin &amp; Associates,2,2,100.0%
K.P. Gillen &amp; Co Realty,2,2,100.0%
Homelife Woodbine,2,2,100.0%
Century 21 Legacy Ltd,2,1,50.0%
Featherstone Realty,2,1,50.0%
Exit Realty Seaway,2,1,50.0%
Colonnade Bridgeport,2,2,100.0%
Capital Homes Realty,2,1,50.0%
ones Lang LaSalle,2,2,100.0%
Royal LePage Parkway,2,1,50.0%
Coldwell Banker -  Peter Benninger Realty,2,2,100.0%
Rob Thompson Realty Corp,2,1,50.0%
Johnston &amp; Daniel,2,1,50.0%
Alexandroff Real Estate,2,2,100.0%
Homelife Today Realty,2,1,50.0%
Capital North Commercial,2,1,50.0%
Royal LePage Gale Real Estate,2,2,100.0%
Tony Johal Realty Inc,2,2,100.0%
Estar Real Estate Corp,2,2,100.0%
Homelife Best-Sellers Realty,2,2,100.0%
Adenat Real Estate Ltd,2,2,100.0%
Homelife/Royalcorp Real Estate,2,2,100.0%
RE/MAX Hartland Realty,2,2,100.0%
Roubin Realty Ltd,2,2,100.0%
Locke Real Estate,2,2,100.0%
Homelife/Diamonds Realty,2,2,100.0%
H. Featherstone Realty Inc,2,2,100.0%
United Century Real Estate,2,2,100.0%
Jakupi Realty Inc,2,2,100.0%
Homelie/Cimerman Real Estate,2,2,100.0%
HomeLife GTA Realty Inc,2,2,100.0%
Century 21 Infinity Realty,2,2,100.0%
Oliver &amp; Associates Rea Estate,2,2,100.0%
Century 21 Harvest Realty,2,2,100.0%
RE/MAX Four Seasons Realty,2,2,100.0%
Royal LePage Team Real Estate,2,2,100.0%
Living Real Estate Ltd,2,2,100.0%
Nordale Realty &amp; Associates Inc,2,2,100.0%
Titan York Realty Corporation,2,2,100.0%
EXSELLence Team Realty,2,2,100.0%
Cushman and Wakefield Waterloo Region,2,2,100.0%
Mid-Land Group Realty,2,2,100.0%
Homelife/5 Star Realty,2,2,100.0%
MFS Realty Services,2,2,100.0%
Givalas Real Estate Ltd,2,2,100.0%
Home Leader Realty,2,2,100.0%
RE/MAX Garden City,2,2,100.0%
Keller Williams Solid Rock Realty,2,2,100.0%
Trustwell Realty,2,2,100.0%
Victoria and York Ltd,2,2,100.0%
Toronto Homes and Buildings Realty Inc,2,2,100.0%
Coldwell Banker Commercial Integrity Real Estate,2,2,100.0%
Vanguard Realty Brokerage,2,2,100.0%
KP Gillen &amp; Co Realty,2,2,100.0%
Oliver &amp; Associates Real Estate,2,2,100.0%
Beeman Real Estate,2,2,100.0%
Sachs Realty,2,2,100.0%
New Century Real Estate,2,2,100.0%
Inetagent Inc,2,2,100.0%
Prime Holdings Realty,2,2,100.0%
Homelife/Mapleleaf Realty,2,2,100.0%
Century 21 Winpax Realty,2,2,100.0%
Allcom Realty Services,2,2,100.0%
Queenland East Realty,2,2,100.0%
Icon 1 Realty Services,2,2,100.0%
The Blackburn Property Group,2,2,100.0%
Your Options Real Estate,2,2,100.0%
http,2,2,100.0%
Prop Mgr,2,2,100.0%
Homelife/United Realty Inc,2,2,100.0%
Dynamic Edge Realty Group Inc,2,2,100.0%
Falconview Realty Inc,2,2,100.0%
Homelife/Miracle Realty Ltd,2,2,100.0%
Colliers National Retail Group,2,2,100.0%
Sutton Headwaters Realty Inc,2,2,100.0%
The Staubach Company,2,2,100.0%
Nassour Real Estate Team,2,2,100.0%
Canadian Commercial Realty Inc,2,2,100.0%
Pantalone Realty Corp,2,1,50.0%
Homelife New World Realty,2,1,50.0%
Coldwell Banker Sun Realty,2,1,50.0%
Chestnut Park Real Estate Ltd,2,2,100.0%
World Class Realty Point,2,1,50.0%
Prime Real Estate,2,2,100.0%
Realawstate Realty,2,2,100.0%
Royal LePage Flower City Realty,2,1,50.0%
Land Services Group Realty,2,0,0.0%
AMDirect Real Estate Services,2,1,50.0%
Creiland Consultants Realty,2,2,100.0%
Royal LePage Terrequity,2,1,50.0%
Royal LePage Real Estate Services Inc,2,2,100.0%
Ally Commercial R.E. Inc,2,1,50.0%
RE/MAX Hallmark York Group,2,0,0.0%
Century 21 Smartway,2,1,50.0%
Homelife Best Choice Realty,2,2,100.0%
Metropolitan Commercial Realty Inc,2,2,100.0%
Facilities Commercial Realty,2,1,50.0%
Decathalon Commercial Realty Corp,2,2,100.0%
Sutton Group - Select Realty Inc,2,2,100.0%
RE/MAX Commercial Focus Inc,2,2,100.0%
Brixton Commercial Realty,2,1,50.0%
Keller Williams Signature,2,2,100.0%
StreetCity Realty,2,2,100.0%
Century 21 Innovative Realty,2,2,100.0%
Edge Realty Solutions,2,2,100.0%
Coldwell Banker Realty in Motion,2,2,100.0%
HomeLife Broadway Realty Inc,2,2,100.0%
RE/MAX Aboutowne Realty,2,2,100.0%
Alliance Realty,2,2,100.0%
Core Consultants Realty,2,2,100.0%
Royal LePage West Realty,2,2,100.0%
Bennett Property Shop Realty,2,2,100.0%
Century 21 King&#039;s Quay Realty,2,2,100.0%
Metro Suburban Realty,2,2,100.0%
Century 21 Limestone Realty,2,1,50.0%
Coldwell Banker Peter Minogue Real Estate,2,1,50.0%
Century 21 Heritage Group,2,2,100.0%
Dream Properties,2,1,50.0%
Century 21 Miller Real Estate,2,2,100.0%
Primus Realty Ltd,2,0,0.0%
Worldcrest Realty Inc,2,0,0.0%
Solid Rock Realty,2,1,50.0%
Wineva Realty Inc,2,2,100.0%
DTZ Eastern Ontario Ltd,2,2,100.0%
Hassey Realty Corp,2,2,100.0%
Homelife Regional Realty,2,2,100.0%
Exit Premier Realty,2,2,100.0%
Farquharson Realty,2,2,100.0%
RE/MAX Orillia,2,2,100.0%
James So Realty,2,2,100.0%
Century 21 People&#039;s Choice Realty,2,2,100.0%
RE/MAX Riverview Realty,2,2,100.0%
Homelife Realty One,2,2,100.0%
Megna Real Estate,2,2,100.0%
The Realty Firm,2,2,100.0%
High Point Realty,2,2,100.0%
New World 2000 Realty Inc,2,2,100.0%
Region-Wide Real Estate,2,2,100.0%
Sutton Group Select Realty,2,2,100.0%
Homelife Best-Seller Realty,2,2,100.0%
RE/MAX Chatham-Kent Realty,2,2,100.0%
Rogers &amp; Trainor,2,2,100.0%
Peak Alliance Realty,2,2,100.0%
Berkshire Hathaway,2,2,100.0%
Prospect Realty,2,2,100.0%
Homelife Macro Realty Inc,2,2,100.0%
Brekland Realty Group,2,2,100.0%
RE/MAX Excellence Realty,2,2,100.0%
Commercial Focus Realty Inc,2,2,100.0%
BMO Capital Markets Real Estate Group,2,2,100.0%
Real Estate Marketing Inc,2,2,100.0%
Homelife Superstars Real Estate Ltd,2,2,100.0%
Century 21 Top Producers,2,2,100.0%
Sutton Group Professional,2,2,100.0%
Royal LePage/J&amp;D Division,2,2,100.0%
Royal LePage Niagara Realty,2,2,100.0%
Homeology Real Estate,2,2,100.0%
Chase Realty Inc,2,2,100.0%
"Cushman &amp; Wakefield Nicholas Kendrew &amp; Matt Rakhit, 416-359-2441Avison Young",2,2,100.0%
Coldwell Banker Rhodes &amp; Company,2,2,100.0%
NRS Select Ltd,2,2,100.0%
Cubecom Commercial Realty Inc,2,2,100.0%
RE/MAX Realty Services Inc,2,2,100.0%
Sutton Group Town &amp; Country Realty,2,2,100.0%
1997959 Ontario Inc.,2,0,0.0%
Income Plus Realty Services Inc.,2,0,0.0%
A.e. Meredith Real Estate Ltd.,2,0,0.0%
Crest Realty Inc.,2,0,0.0%
L. Hanna Real Estate Limited,2,0,0.0%
Development Pro Realty Inc.,2,0,0.0%
Green Hedge Realty Inc.,2,0,0.0%
Downing Street Real Estate Corp.,2,0,0.0%
Allan M Spivak,2,0,0.0%
Buyer Broker Realty Inc.,2,0,0.0%
Ceg Real Estate Inc.,2,0,0.0%
9 Yards Realty Brokerage Corp.,2,0,0.0%
Bestliving Signature Realty Inc.,2,0,0.0%
2512068 Ontario Inc.,2,0,0.0%
Katy Torabi Realty Inc.,2,0,0.0%
James Power Real Estate Brokerage Inc.,2,0,0.0%
City Alliance Real Estate Services Ltd.,2,0,0.0%
Homelife First Realty Inc.,2,0,0.0%
Prime Home Realty Inc.,2,0,0.0%
Starts Realty Canada Inc.,2,0,0.0%
Marshall Real Estate Limited,2,0,0.0%
Majestic Properties (canada) Inc.,2,0,0.0%
Max-a-mill Realty Inc.,2,0,0.0%
Pinnacle Real Estate Group Inc.,2,0,0.0%
Realcan Group Inc.,2,0,0.0%
Michelle Xie Realty Inc.,2,0,0.0%
Montano Group Realty Ltd.,2,0,0.0%
Tripod Realty Inc.,2,0,0.0%
Target One Realty Inc.,2,0,0.0%
Trusted One Realty Inc.,2,0,0.0%
DW Gould Realty,1,1,100.0%
BMO Nesbitt Burns Real Estate Inc,1,1,100.0%
RE/MAX Advantage,1,1,100.0%
Avison Young Real Estate Services,1,1,100.0%
Indusite Realty Corporation,1,1,100.0%
Reed Realty Inc,1,1,100.0%
Cushman &amp; Wakefield Commercial Real Estate Services Inc,1,1,100.0%
Mysak Realty,1,1,100.0%
Keller Williams Legacies Realty Inc,1,1,100.0%
Intercity Realty Inc,1,1,100.0%
Pantalone Realty Corporation Ltd,1,1,100.0%
"Matt Picken, Brian Bastable, Nicholas Kendrew &amp; Tony Sandhu, 416-956-5200Avison Young",1,1,100.0%
Sutton Group Heritage Realty,1,1,100.0%
Cubecom Commercial Realty,1,1,100.0%
Koble Commercial Real Estate Inc,1,1,100.0%
Glenda James Real Estate,1,1,100.0%
District Realty Corporation,1,1,100.0%
Primecorp Commercial,1,1,100.0%
Barclay Commercial,1,1,100.0%
Brentcom Realty Corp,1,0,0.0%
Transfer Realty,1,0,0.0%
Brookfield Financial,1,1,100.0%
Birdhouse Realty,1,0,0.0%
Homelife Future Realty,1,0,0.0%
Jump Realty,1,1,100.0%
Royal LePage Hiller Realty,1,0,0.0%
Century 21 In-Studio Realty Inc,1,0,0.0%
RE/MAX Capital Diamond,1,0,0.0%
Realinvest Canada,1,0,0.0%
Northstone Realty Inc,1,0,0.0%
Upperside Real Estate,1,0,0.0%
Royal LePage Supreme,1,0,0.0%
Royal LePage Binder,1,1,100.0%
Homelife Superstars,1,0,0.0%
RE/MAX Hallmark Chay Realty,1,0,0.0%
Links Realty,1,0,0.0%
"Mitchell Chang, Lorenzo DiGianfelice &amp; Jake Ringwald, 416-907-8282   Bosley Real Estate Ltd",1,0,0.0%
Erie&#039;s Edge Real Estate Ltd,1,0,0.0%
"Coupal Markou Commercial Real Estate: Christopher Coupal &amp; John Markou, 519-742-7000Cushman &amp; Wakefield Waterloo Region Ltd",1,0,0.0%
Ellington Partners Corporate Real Estate Advisors,1,0,0.0%
Cooper &amp; Company Real Estate,1,0,0.0%
JCD Commercial Realty,1,0,0.0%
Ellington Corporate Real Estate Advisors,1,1,100.0%
Redwater Capital Realty Inc,1,0,0.0%
BRE Ltd,1,0,0.0%
Alpha Omega Realty,1,0,0.0%
Acres Real Estate,1,1,100.0%
Royal Heritage Realty Ltd,1,0,0.0%
Aimhome Realty Inc,1,0,0.0%
Trinihill Realty Corp,1,1,100.0%
HomeLife Broadway Realty,1,0,0.0%
Matteis Realty,1,0,0.0%
Thomas L Johnson Realty,1,0,0.0%
Lee &amp; Associates Realty,1,1,100.0%
GFA Realty,1,1,100.0%
LC Platinum Realty,1,1,100.0%
Century 21 First Canadian,1,1,100.0%
Cosmopolitan Realty,1,1,100.0%
RE/MAX Excel Realty Ltd,1,1,100.0%
TrilliumWest Real Estate,1,1,100.0%
District Commercial Corp,1,1,100.0%
Realty Executives Platinum,1,1,100.0%
Ren/Tex Realty,1,1,100.0%
Periscope Realty,1,1,100.0%
The Vrancor Group,1,1,100.0%
Martel Commercial Realty,1,1,100.0%
Nu Stream Realty,1,1,100.0%
Century 21 BJ Roth Realty,1,1,100.0%
Beecher &amp; Associates Real Estate,1,1,100.0%
RE/MAX In The Hills,1,1,100.0%
Sutton Ottawa,1,1,100.0%
Eskan Realty,1,1,100.0%
Century 21 King&#039;s Quat Real Estate,1,1,100.0%
Red and White Realty,1,1,100.0%
Royal LePage Grand Valley,1,1,100.0%
Century 21 Dreams,1,0,0.0%
RE/MAX Solutions Barros Group,1,1,100.0%
Trade One Realty Inc,1,1,100.0%
K.P. Gillen &amp; Co. Realty,1,1,100.0%
RE/MAX Escarpment Realty Inc,1,0,0.0%
Century 21 Dreams Inc,1,1,100.0%
Catania Realty Ltd,1,1,100.0%
Coldwell Banker Rhodes Realty,1,0,0.0%
Top Cats Realty Inc,1,0,0.0%
RE/MAX Platinum,1,0,0.0%
TL Willaert Realty,1,0,0.0%
Royal LePage Lakes of Muskoka Realty,1,0,0.0%
Davidson Commercial Corp,1,1,100.0%
Roger &amp; Trainor Commercial Realty,1,1,100.0%
Royal LePage Parkway Realty,1,0,0.0%
Bennett Property Shop,1,1,100.0%
Sutton Group - Quantum Realty,1,1,100.0%
Royal LePage Urban Realty,1,0,0.0%
Your Hometown Realty Ltd,1,0,0.0%
Smart From Home Realty Ltd,1,0,0.0%
Century 21 Today Realty,1,0,0.0%
Exit Realty Liftlock,1,1,100.0%
Royal Heritage Realty,1,0,0.0%
Homelife/Metropark Realty,1,0,0.0%
Coldwell Banker Momentum Realty,1,0,0.0%
RE/MAX Parry Sound Muskoka Realty,1,0,0.0%
Homelife/Heritage Realty,1,0,0.0%
Nu-Vista Premiere Realty,1,0,0.0%
RE/MAX Capital,1,1,100.0%
Coldwell Banker Ekort Realty,1,1,100.0%
Core Realty Group Inc,1,1,100.0%
Posteraro Real Estate Investment,1,1,100.0%
Royal LePage Hurley Real Estate,1,1,100.0%
Homebound Realty Inc,1,1,100.0%
Chriton Company Inc,1,1,100.0%
Aztech Realty Inc,1,1,100.0%
Kartelle Real Estate Inc,1,1,100.0%
Webster Retail Commercial Real Estate Ltd,1,1,100.0%
Living Realty Inc,1,1,100.0%
RE/MAX Sudbury Realty,1,1,100.0%
PMG Realty Corp,1,1,100.0%
Huntington Commercial Realty,1,1,100.0%
Urbanlife Realty,1,1,100.0%
RCB Realty,1,1,100.0%
Applaud Realty Inc,1,1,100.0%
Homelife/Cimerman Realty,1,1,100.0%
Sunshine Realty Corp,1,1,100.0%
Homelife Bayview Realty,1,1,100.0%
Bridgecan Realty,1,1,100.0%
Givalas Real Estate,1,1,100.0%
Hurley Real Estate,1,1,100.0%
Sutton Group Admiral,1,1,100.0%
Sutton Group Central Realty,1,1,100.0%
Kerwin Realties Ltd,1,1,100.0%
MFS Realty,1,1,100.0%
Venture Real Estate Corp,1,1,100.0%
IPro Realty Ltd,1,1,100.0%
Ashlar Crosby Cairo Realty,1,1,100.0%
Westminster Group Realty,1,1,100.0%
Bob Pedler Real Estate Ltd,1,1,100.0%
RE/MAX Grey Bruce Realty,1,1,100.0%
Eskan Realty Inc,1,1,100.0%
Fengate Realty,1,1,100.0%
RE/MAX Finest Realty,1,1,100.0%
Mr Most Realty,1,1,100.0%
Greenfield Real Estate,1,1,100.0%
Ariston Realty,1,1,100.0%
Keller Williams Edge Realty,1,1,100.0%
Realty Advisors First Corporation,1,1,100.0%
Homelife Superstars Realty,1,1,100.0%
Coldwell Banker Sarzen Realty,1,1,100.0%
Bempridge Realty,1,1,100.0%
Century 21 Best Sellers Realty,1,1,100.0%
Grand Realty,1,1,100.0%
Sutton Group-Security Real Estate,1,1,100.0%
Century 21 Lanthorn Real Estate,1,1,100.0%
DTZ Eastern Ontario,1,1,100.0%
"Kelly Avison, Robin White, Brian Wilson, Richard Chilcott, Adrian Lee &amp; Matt Gunning, 416-955-0000RE/MAX Excel Realty",1,1,100.0%
R.W. Dyer Realty,1,1,100.0%
Kingsway Real Estate Brokerage,1,1,100.0%
Coldwell Banker All Points - Festival City,1,1,100.0%
Family Realty Cosmo City,1,1,100.0%
Homelife Principal Realty,1,1,100.0%
Kewin Commercial Realty,1,1,100.0%
Homelife Dreams Realty,1,1,100.0%
RE/MAX First Real Estate,1,1,100.0%
Alkins Real Estate,1,1,100.0%
Magic Realty Inc,1,1,100.0%
Great Canadian Realty,1,1,100.0%
Top Canadian Realty,1,1,100.0%
Metropolitan Realty Corp,1,1,100.0%
RE/MAX County-Town Realty,1,1,100.0%
Cayman Marshall International Realty,1,1,100.0%
Exit Realty Hare (Peel),1,1,100.0%
Coldwell Banker Commercial Peter Benninger,1,1,100.0%
Xoocca Brokerage,1,1,100.0%
Century 21 Leading Edge Experia,1,1,100.0%
Century 21 Leasing Edge,1,1,100.0%
Marg McCarthy Professional Real Estate Services Inc,1,1,100.0%
TFN Realty Inc,1,1,100.0%
Top Choice Realty,1,1,100.0%
Coldwell Banker Advantage Real Estate,1,1,100.0%
Terra Firma Realty,1,1,100.0%
Humber Valley Realty,1,1,100.0%
RE/MAX Real Estate Centre Inc,1,1,100.0%
Wayne Levy Real Estate Corp,1,1,100.0%
Real Estate Homeward,1,1,100.0%
Sutton Group Summit Realty,1,1,100.0%
Century 21 Kingsbury Real Estate Ltd,1,1,100.0%
Cupido Realty,1,1,100.0%
Colliers Pratt McGarry,1,1,100.0%
Esbin Realty Corp,1,1,100.0%
Niagara-on-the-Lake Realty,1,1,100.0%
Buckingham Realty (Windsor) Ltd,1,1,100.0%
Gentry Real Estate Services,1,1,100.0%
Royal LePage / Johnston &amp; Daniels,1,1,100.0%
RE/MAX Jazz,1,1,100.0%
Pay it Forward Realty,1,1,100.0%
Johnston &amp; Green Real Estate,1,1,100.0%
Save Max First Realty,1,1,100.0%
Fellow Real Estate Inc,1,1,100.0%
Arlington Commercial Properties Inc,1,1,100.0%
Century 21 Leading Edge Experia Realty Inc,1,1,100.0%
Stonecastle Realty Group Inc,1,1,100.0%
Revel Realty Inc,1,1,100.0%
D.W. Gould Realty Advisors Inc,1,1,100.0%
Acres Real Estate Inc,1,1,100.0%
Colliers Ltd,1,1,100.0%
Avison Young (Canada) Inc,1,1,100.0%
Paradigm&amp;Commercial&amp;Real Estate,1,1,100.0%
Royal LePage Northern Life Realty,1,1,100.0%
X00CCA Brokerage,1,1,100.0%
Engel &amp; V&ouml;lkers,1,1,100.0%
